BIN,PART NUMBER,PART DESCRIPTION,QTY
A2,BULK484525-BK2OD TX,"48X45X25 USED BULK BOX-BLK OD",3
A2,METAL59.54838-COLU,"593/4)X45x38 Colapsed Metal B",13
A2,PALL4438-BLKSTK  U,"44x38 BLK OD STK",1797
A2-1,BULK37X24X23S    U,"37x24x23 Small Steel Bin",22
A5-1,LID4845-USED-ORB,"48X45 Used Lid-ORBIS",52
A5-2,LIDTS48450300BH  N,"48X45 NEW LID -BH-SqC",71
A5-3,LID3230-SFSC     U,"32X30 USED LID SF SQUARE CRNR",160
A5-3,LID4845-SFR      U,"48X45 USED LID - SF ROUNDED",28
A5-3,LID4845-SFSC     U,"48X45 USED LID",23
A5-3,LID4845-TD-YEL   N,"48X45 NEW LID - TD YELLOW",3
A5-3,LID4845-TS-BLK   U,"48X45 Used /TH BLACK",36
A5-3,LID4845-VFAC     U,"48X45 USED LID",79
A5-3,MACX404831       U,"40X48X31 MACX BIN",5
A5-3,PALL4845-BH-BK   N,"48X45 USED PALLET NO CAPS LIP",27
A5-4,BULK323030-MX2   U,"32X30X30 USED BULK BOX-MIX",184
A5-4,LID3230-SFRC     U,"32X30 USED LID Round Corner",90
A5-4,LID3230-SFSC     U,"32X30 USED LID SF SQUARE CRNR",24
A6-1,SEED-CENTERFLOW  U,"USED CENTERFLOW",28
A6-1,SEED-CENTERFLOW-LN,"NEW CENTERFLOW",2
A6-2,LID56.545-SEED   N,"56.5X45 NEW LID - SEEDBOX",25
A6-2,SEED-CENTERFLOW  U,"USED CENTERFLOW",29
A6-2,SEED-LID         U,"SEEDBOX LID BUCKHORN",8
A6-3,LID56.545-SEED   N,"56.5X45 NEW LID - SEEDBOX",100
A6-3,SEED-CENTERFLOW  U,"USED CENTERFLOW",16
A6-3,SEED-LID         U,"SEEDBOX LID BUCKHORN",18
A6-3,SEEDBOX-RING,"SEEDBOX RING ONLY",17
A6-4,BULK323025-BK2   T,"32X30X25 USED BULK BOX-BLK",7
A6-4,BULK323025-MX2   T,"32X30X25 USED BULK BOX-MIX",2
A6-4,BULK323034-BK2   TX,"32X30X34 USED BULK BOX-BLK",31
A6-4,BULK323034-MX2   TX,"32X30X34 USED BULK BOX-MIX",44
A6-4,BULK323034-MX2   U,"32X30X34 USED BULK BOX-MIX",43
A6-5,PALL-RACX4048    N,"RACX 40 X 48 PALLETS",31
A6-5,TOTE24227-BLU    U,"24X22X7USED TOTE - BLUE",476
A6-5,TOTE24227-GREY   U,"24X22X7USED TOTE - GREY",80
A6-5,TOTE481511-GR    N,"48X15X11 New Tote Grey",360
A6-6,TOTE24119-BLK-LIDU,"24X11X9 USED TOTE - BLACK ESD",65
A6-7,BULK704825-BK2   U,"70X48X25 USED BULK BOX-BLK",16
A6-7,BULK704834-BK2   U,"70X48X34 USED BULK BOX-BLK",28
A6-7,BULK704834-MX2   U,"70X48X34 USED BULK BOX-MIX",52
A6-8,BULK704825-BK0   U,"70X48X25 USED BULK BOX-BLK",3
A6-8,BULK704825-BK2   U,"70X48X25 USED BULK BOX-BLK",14
A6-8,BULK704825-MX2   U,"70X48X25 USED BULK BOX-MIX",1
A6-8,BULK704834-BK2   U,"70X48X34 USED BULK BOX-BLK",10
A6-8,BULK704834-MX1WW U,"70X48X34 USED BULK BOX-MIX",31
A6-8,BULK704834-MX2   U,"70X48X34 USED BULK BOX-MIX",12
A6-8,BULK784834-BK2   U,"78X48X34 USED BULK BOX-BLK",2
A6-8,BULK784834-MX2   U,"78X48X34 USED BULK BOX-MIX",1
A6-9,BULK323034-MXTD  N,"32X30X34 NEW BULK BOX-MX",41
A6-9,PALL3042-BLKN    U,"30X42 USED PALLET - NESTABLE",879
A7-1,BULK624834-BK2   U,"62X48X34 USED BULK BOX-BLK",30
A7-1,BULK624834-MX2   U,"62X48X34 USED BULK BOX-MIX",3
A7-2,BULK41X28X27W/L  U,"41X28X27 BULK BOX MIX WITH LID",85
A7-2,BULK482825-BK1   U,"48X28X25 USED BULK BOX - BLK",5
A7-2,BULK483025-MX2   U,"48X30X25 USED BULK BOX - BLK",3
A7-3,BULK41X28X27W/L  U,"41X28X27 BULK BOX MIX WITH LID",85
A7-3,BULK482825-BK0   U,"48X28X25 USED BULK BOX - BLK",7
A7-3,BULK482825-BK2   U,"48X28X25 USED BULK BOX - BLK",1
A7-4,PALL4438-BLKSTK  U,"44x38 BLK OD STK",185
A7-5,BULK574825-MX2   U,"57X48X25 USED BULK BOX-MIX",2
A7-5,BULK574834-BK2   TX,"57X48X34 USED BULK BOX-BLK",16
A7-5,BULK574834-MX2   TX,"57X48X34 USED BULK BOX-MIX",16
A7-5,BULK574834-MX2   U,"57X48X34 USED BULK BOX-MIX",40
A7-5,BULK574842-MX2   U,"57X48X42 USED BULK BOX-MIX",1
A7-5,BULK574844-BK2   U,"57X48X44 USED BULK BOX",7
A7-6,BULK574834-BK2   U,"57X48X34 USED BULK BOX-BLK",33
A7-6,BULK574834-MX2   U,"57X48X34 USED BULK BOX-MIX",17
A7-6,LID4857MOD       U,"48X57 MOD LID",17
A7-6,LID4857VF        U,"48X57 VF",34
A7-7,BULK574850-BKOD  U,"57X48X50 BKOD",6
A7-7,BULK574850-MX2H  U,"57X48X50 MX 2H",12
A7-7,BULK64.54834-BK2 U,"64.5X48X34 USED BULK BOX-BLK",27
A7-7,BULK64.54834-MX2 U,"64.5X48X34 USED BULK BOX-MIX",14
A7-7,BULK64.54842-BK2 U,"64.5X48X42 USED BULK BOX-BLK",1
A7-7,BULK64.54842-MX2 U,"64.5X48X42 USED BULK BOX-MIX",2
A7-7,BULK64.54844-BK2 U,"64.5X48X44 USED BULK BOX-BLK",2
A7-7,BULK64.54844-MX2 U,"64.5X48X44 USED BULK BOX-MIXED",3
A7-7,BULK654817FWBLK  U,"65x48x17USED FIXED WALL - BLK",4
A7-8,BULK704825-BK2   U,"70X48X25 USED BULK BOX-BLK",6
A7-8,BULK704825-MX2   U,"70X48X25 USED BULK BOX-MIX",1
A7-8,BULK704834-BK2   TX,"70X48X34 USED BULK BOX-BLK",1
A7-8,BULK704834-BK2   U,"70X48X34 USED BULK BOX-BLK",29
A7-8,BULK704834-MX2   U,"70X48X34 USED BULK BOX-MIX",11
A7-9,BULK484542-BK2CD U,"48X45X42 USED BULK BOX-BLK CD",3
A7-9,BULK484542-BK2OD TX,"48X45X42 USED BULK BOX-BLK OD",2
A7-9,BULK484542-BK2OD U,"48X45X42 USED BULK BOX-BLK OD",11
A7-9,BULK484542-MX2CD U,"48X45X42 USED BULK BOX-MIX CD",2
A7-9,BULK484542-MX2OD TX,"48X45X42 USED BULK BOX-MIX-TX",3
A7-9,BULK484542-MX2OD U,"48X45X42 USED BULK BOX-MX OD",61
B5-7,BULK484534-BK2OD U,"48X45X34 USED BULK BOX-BLK OD",28
B5-7,BULK484534-MX2OD U,"48X45X34 USED BULK BOX-MIX OD",7
B5-8,BULK484534-BK2OD U,"48X45X34 USED BULK BOX-BLK OD",118
B5-8,BULK484534-MX2OD U,"48X45X34 USED BULK BOX-MIX OD",10
B6-1,BULK484534-MX2OD U,"48X45X34 USED BULK BOX-MIX OD",119
B6-2,BULK484534-BK2OD TX,"48X45X34 USED BULK BOX-BLK OD",96
B6-3,BULK484534-BK2CD TX,"48X45X34 USED BULK BOX-BLK CD",144
B6-4,BULK484534-BK2CD TX,"48X45X34 USED BULK BOX-BLK CD",144
B6-5,BULK484534-BK2CD TX,"48X45X34 USED BULK BOX-BLK CD",144
B6-6,BULK484539-BK2CD U,"48X45X39 USED BULK BOX-BLK CD",1
B6-6,BULK484539-MX2CD U,"48X45X39 USED BULK BOX-MIX CD",1
B6-6,BULK484542-BK2CD U,"48X45X42 USED BULK BOX-BLK CD",2
B6-6,BULK484542-BK2OD U,"48X45X42 USED BULK BOX-BLK OD",48
B6-6,BULK484542-MX2CD U,"48X45X42 USED BULK BOX-MIX CD",1
B6-6,BULK484542-MX2OD U,"48X45X42 USED BULK BOX-MX OD",2
B6-6,BULK484544-BK2CDBU,"48X45X44 USED  BLACKBH CD",1
B6-6,BULK484544-BK2OD U,"48X45X44 USED BULK BOX-BLK OD",5
B6-6,BULK484544-MX2CD U,"48X45X44 USED BULK BOX-MIX CD",7
B6-6,BULK484544-MX2OD U,"48X45X44 USED BULK BOX-MIX OD",2
B6-6,BULK484548-BK2OD U,"48X45X48 USED BULK BOX-BLK OD",8
B6-6,BULK484548-MX2OD U,"48X45X48 USED BULK BOX-MIX OD",3
B6-7,BULK64.54825-BK0 U,"64.5X48X25 USED BULK BOX-BLK",3
B6-7,BULK64.54825-BK2 U,"64.5X48X25 USED BULK BOX-BLK",75
B6-7,BULK64.54825-MX2 U,"64.5X48X25 USED BULK BOX-MIX",9
B6-8,ARENA330,"ARENA CONTAINER 330",1
B6-8,BULK485634-MOD   U,"48X56X34 Used Bulk Box",6
B6-8,BULK487534-BKMOD N,"48X75X34 NEW BULK BOX - MOD",3
