[dotenv@17.2.3] injecting env (46) from .env.vercel -- tip: 📡 add observability to secrets: https://dotenvx.com/ops
[dotenv@17.2.3] injecting env (0) from .env.local -- tip: 👥 sync secrets across teammates & machines: https://dotenvx.com/ops
[dotenv@17.2.3] injecting env (0) from .env -- tip: ⚙️  suppress all logs with { quiet: true }
(node:21908) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
Found 387 locations to geocode. Dry run: false
[1/387] b8cb734f-8c6a-45f5-90ed-5b56edca2072 -> no result
[2/387] 8fd78aaf-fe03-4a84-9f65-5739cd6a9b4d -> no result
[3/387] 4b7caef6-665e-4c72-982a-efe9b45a038b -> no result
[4/387] 74024cdc-16c5-4790-87bb-2af9c8164d12 -> no result
[5/387] 8c8fbc41-6da1-40d7-b652-4f66d23e3d1b -> no result
[6/387] 962b1b3f-8edb-451f-803f-c477ae6b2022 -> no result
[7/387] f2950f45-cfce-434b-9dba-374a3843e767 -> no result
[8/387] 9a3a5af7-b6c7-4ad4-a900-7e374eb41941 -> no result
[9/387] 5d3700b2-f0b1-4064-b883-3c11273d955b -> no result
[10/387] a317628b-7dba-4125-aa3f-8f75a21f4a6a -> no result
[11/387] a0132e3b-8bbc-450a-afa4-3a62754bebf8 -> no result
[12/387] 63ab3008-5412-47b9-8147-15eccecd7307 -> no result
[13/387] 9be764de-5dee-4c2a-b80e-1c0fa7058fbe -> no result
[14/387] c209c99c-b810-4134-a01c-b28e4afcbd01 -> no result
[15/387] 81fc884f-7b06-4a4b-8adf-4d13d8d27c7c -> no result
[16/387] ea338960-7dca-4b1b-9e0a-e5fe80101758 -> no result
[17/387] b2530dbd-06fc-4f92-8e89-86d728c5bc15 -> no result
[18/387] b27f21f7-b208-43b4-bd1c-44052f040e28 -> no result
[19/387] 8e4b87ac-78eb-414d-9c20-f3823806c009 -> no result
